Message ID,Date,Event,Instrument,Action,Transect,Station,Cast,Latitude,Longitude,Seafloor,Author,Comment,Cruise,R2R_Event,dateTimeUTC,GPS_Time,dateTime8601,Revisions
1,"Fri, 26 Nov 2021 12:05:08 +0000",20211126.1205.001,Transmissometer 25cm,other,NaN,NaN,NaN,41.524017,-70.672281,,aSimoneau1,pre-cruise cal,ar63,ar63-SE-20211126.1205.001,20211126.12,26-11-21 12:05,2021-11-26T12:05:08+00:00,
2,"Fri, 26 Nov 2021 13:01:45 +0000",20211126.1301.001,Ship,startCruise,NaN,NaN,NaN,41.523325,-70.672882,,cWillis1,,ar63,ar63-SE-20211126.1301.001,20211126.13,26-11-21 13:01,2021-11-26T13:01:45+00:00,
3,"Fri, 26 Nov 2021 13:31:38 +0000",20211126.1331.001,SVS,start,NaN,NaN,NaN,41.457655,-70.741321,,fBahr1,lowered,ar63,ar63-SE-20211126.1331.001,20211126.13,26-11-21 13:31,2021-11-26T13:31:38+00:00,
4,"Fri, 26 Nov 2021 13:32:57 +0000",20211126.1332.001,Underway Science seawater,start,NaN,NaN,NaN,41.455122,-70.746494,,aSimoneau1,aft diaphragm pump,ar63,ar63-SE-20211126.1332.001,20211126.13,26-11-21 13:32,2021-11-26T13:32:57+00:00,
5,"Fri, 26 Nov 2021 13:40:00 +0000",20211126.1339.001,PCO2,start,NaN,NaN,NaN,41.443595,-70.775047,,fBahr1,,ar63,ar63-SE-20211126.1339.001,20211126.13,26-11-21 13:40,2021-11-26T13:40:00+00:00,
6,"Fri, 26 Nov 2021 14:03:15 +0000",20211126.1403.001,Attune Flow Cytometer,start,NaN,NaN,NaN,41.401296,-70.859431,,cSmith6,Attune flow cytometer,ar63,ar63-SE-20211126.1403.001,20211126.14,26-11-21 14:02,2021-11-26T14:03:00+00:00, & Fri Nov 26 18:35:13 2021
7,"Fri, 26 Nov 2021 14:27:12 +0000",20211126.1427.001,IFCB Continuous,start,NaN,NaN,NaN,41.341652,-70.912088,,lCai1,,ar63,ar63-SE-20211126.1427.001,20211126.14,26-11-21 14:27,2021-11-26T14:27:12+00:00,
8,"Fri, 26 Nov 2021 14:32:36 +0000",20211126.1432.001,ADCP150,start,NaN,NaN,NaN,41.325504,-70.910671,,jPartida1,started  - kesync with EK80,ar63,ar63-SE-20211126.1432.001,20211126.14,26-11-21 14:32,2021-11-26T14:32:36+00:00,
9,"Fri, 26 Nov 2021 14:33:08 +0000",20211126.1433.001,EK80 broadband,start,NaN,NaN,NaN,41.324103,-70.910549,,jPartida1,ksync with OS150 adcp,ar63,ar63-SE-20211126.1433.001,20211126.14,26-11-21 14:33,2021-11-26T14:33:08+00:00,
10,"Fri, 26 Nov 2021 16:14:10 +0000",20211126.1614.001,IFCB Continuous,stop,NaN,NaN,NaN,41.045004,-70.884137,,sGlancy1,IFCB115 falure; switched to 109 as underway,ar63,ar63-SE-20211126.1614.001,20211126.16,26-11-21 16:14,2021-11-26T16:14:10+00:00,
