"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
1,Thu  27 Apr 2023 13:22:01 +0000,"20230427.1321.001","Other","other","NaN","NaN","NaN"," 41.523943"," -70.672193",,"hSosik1","test gps","hrs2303HS","20230427.1321.001","20230427.1322","2023/04/27 13:22:00","2023-04-27T13:22:01+00:00",
2,Sat  29 Apr 2023 03:34:27 +0000,"20230429.0331.001","Thermosalinographs on underway impeller","start","NaN","NaN","NaN"," 41.509083"," -70.669692",,"anOther","RVHRS Technicians started underway surface mapping system (SBE45 Underway sampling via impeller pump)","hrs2303HS","20230429.0331.001","20230429.0334","2023/04/29 03:34:26","2023-04-29T03:34:27+00:00",
3,Sat  29 Apr 2023 09:24:31 +0000,"20230429.0923.001","IFCB continuous","start","NaN","NaN","NaN"," 41.320437"," -70.567420",,"tCrockford1","UFCB109","hrs2303HS","20230429.0923.001","20230429.0915","2023/04/29 09:14:52","2023-04-29T09:15:00+00:00",
4,Sat  29 Apr 2023 09:24:56 +0000,"20230429.0924.001","Attune Flow Cytometer","start","NaN","NaN","NaN"," 41.320335"," -70.576903",,"tCrockford1",,"hrs2303HS","20230429.0924.001","20230429.0920","2023/04/29 09:19:52","2023-04-29T09:20:00+00:00",
5,Sat  29 Apr 2023 13:16:44 +0000,"20230429.1315.001","CTD911","deploy","NaN","MVCO","01"," 41.327308"," -70.560303",,"hSosik1",,"hrs2303HS","20230429.1315.001","20230429.1043","2023/04/29 10:42:52","2023-04-29T10:43:00+00:00"," & Sat Apr 29 13:18:05 2023"
6,Sat  29 Apr 2023 13:19:25 +0000,"20230429.1318.001","Bongo Net","deploy","NaN","MVCO","B01"," 41.320367"," -70.579095",,"hSosik1",,"hrs2303HS","20230429.1318.001","20230429.1157","2023/04/29 11:56:52","2023-04-29T11:57:00+00:00"," & Sat Apr 29 13:23:40 2023"
7,Sat  29 Apr 2023 13:20:30 +0000,"20230429.1319.001","Bongo Net","recover","NaN","MVCO","B01"," 41.319090"," -70.577403",,"hSosik1",,"hrs2303HS","20230429.1319.001","20230429.1201","2023/04/29 12:00:52","2023-04-29T12:01:00+00:00"," & Sat Apr 29 13:24:09 2023"
8,Sat  29 Apr 2023 13:29:41 +0000,"20230429.1329.001","PAR Irradiance Sensor","start","NaN","NaN","NaN"," 41.305385"," -70.573433",,"tCrockford1",,"hrs2303HS","20230429.1329.001","20230429.0831","2023/04/29 08:30:52","2023-04-29T08:31:00+00:00",
9,Sat  29 Apr 2023 13:40:44 +0000,"20230429.1340.001","Surface PAR","start","NaN","NaN","NaN"," 41.305385"," -70.573433",,"tCrockford1",,"hrs2303HS","20230429.1340.001","20230429.0831","2023/04/29 08:30:52","2023-04-29T08:31:00+00:00",
10,Sat  29 Apr 2023 13:49:20 +0000,"20230429.1349.001","ADCP300","start","NaN","NaN","NaN"," 41.213733"," -70.845422",,"hSosik1",,"hrs2303HS","20230429.1349.001","20230429.1348","2023/04/29 13:47:51","2023-04-29T13:48:00+00:00"," & Sat Apr 29 17:04:24 2023"
11,Sat  29 Apr 2023 13:50:20 +0000,"20230429.1349.002","ADCP300","start","NaN","NaN","NaN"," 41.319568"," -70.538123",,"hSosik1",,"hrs2303HS","20230429.1349.002","20230429.0900","2023/04/29 08:59:52","2023-04-29T09:00:00+00:00",
