"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
2,Fri  06 Sep 2024 14:10:03 +0000,"20240906.1409.001","Echosounder12","start","NaN","NaN","NaN"," 41.492463"," -71.418600",,"cMayorga",,"en720","20240906.1409.001","20240906.1410","2024/09/06 14:10:01","2024-09-06T14:10:03+00:00",
3,Fri  06 Sep 2024 14:10:53 +0000,"20240906.1410.001","MeteorologicalSensor","other","NaN","NaN","NaN"," 41.492477"," -71.418613",,"cMayorga","Met sensors continue to run","en720","20240906.1410.001","20240906.1410","2024/09/06 14:10:52","2024-09-06T14:10:53+00:00",
4,Fri  06 Sep 2024 14:31:19 +0000,"20240906.1430.001","Ship","startCruise","NaN","NaN","NaN"," 41.483265"," -71.407645",,"cMayorga",,"en720","20240906.1430.001","20240906.1431","2024/09/06 14:31:17","2024-09-06T14:31:19+00:00",
5,Fri  06 Sep 2024 14:59:30 +0000,"20240906.1459.001","UHDAS for both ADCPs","start","NaN","NaN","NaN"," 41.415608"," -71.399682",,"cMayorga",,"en720","20240906.1459.001","20240906.1459","2024/09/06 14:59:28","2024-09-06T14:59:30+00:00",
6,Fri  06 Sep 2024 15:18:51 +0000,"20240906.1517.001","Fluorometers on underway impeller","start","NaN","NaN","NaN"," 41.402540"," -71.337168",,"cMayorga",,"en720","20240906.1517.001","20240906.1518","2024/09/06 15:18:49","2024-09-06T15:18:51+00:00",
7,Fri  06 Sep 2024 15:19:13 +0000,"20240906.1518.001","Thermosalinographs on underway impeller","start","NaN","NaN","NaN"," 41.402297"," -71.335968",,"cMayorga",,"en720","20240906.1518.001","20240906.1519","2024/09/06 15:19:11","2024-09-06T15:19:13+00:00",
8,Fri  06 Sep 2024 15:19:32 +0000,"20240906.1519.001","Underway Science seawater impeller","start","NaN","NaN","NaN"," 41.402063"," -71.334997",,"cMayorga",,"en720","20240906.1519.001","20240906.1519","2024/09/06 15:19:31","2024-09-06T15:19:32+00:00",
9,Fri  06 Sep 2024 16:23:17 +0000,"20240906.1622.001","IFCB continuous","start","NaN","NaN","NaN"," 41.334167"," -71.144620",,"tCrockford1","both IFCB115 and IFCB102 start at same time","en720","20240906.1622.001","20240906.1623","2024/09/06 16:23:16","2024-09-06T16:23:17+00:00",
10,Fri  06 Sep 2024 16:28:27 +0000,"20240906.1627.001","Underway Science seawater impeller","other","NaN","NaN","NaN"," 41.354122"," -71.184318",,"bClarke1","PAR sensor cap removed - was on when flowthrough was started","en720","20240906.1627.001","20240906.1609","2024/09/06 16:09:01","2024-09-06T16:09:00+00:00",
11,Fri  06 Sep 2024 16:28:50 +0000,"20240906.1628.001","Underway Science seawater diaphragm pump","start","NaN","NaN","NaN"," 41.366353"," -71.209448",,"bClarke1",,"en720","20240906.1628.001","20240906.1600","2024/09/06 16:00:01","2024-09-06T16:00:00+00:00"," & Sat Sep  7 08:37:51 2024"
